"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","20","69","74","6","35.374157","0","0"
"Globals","20","2125","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","20","33","35","1","17.693733","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","20","874","899","1","272.315826","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","20","145","145","1","70.715370","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","20","17","17","1","4.838794","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","20","8","8","1","3.273865","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","20","46","48","1","25.759434","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","20","8","8","1","4.231751","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","20","12","12","1","7.574865","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","20","2","2","1","1.178338","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","20","8","8","1","4.294349","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","20","569","619","1","153.529434","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","20","24","24","1","11.861157","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","20","8","8","1","4.198297","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","20","2","2","1","1.123660","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","20","10","10","1","5.081945","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","20","10","10","1","5.149888","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","20","24","24","1","11.980098","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","20","7","8","1","3.661117","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","20","17","18","1","8.871386","0","0"
"/Game/VFXSeries1/Materials/Energy/Plasma/M_Flare.M_Flare","20","32","32","1","11.952862","0","0"
"/Game/VFXSeries1/Materials/Energy/M_SparksBlue.M_SparksBlue","20","40","40","1","14.570725","0","0"
"/Game/VFXSeries1/Materials/Energy/M_SmokeParticle.M_SmokeParticle","20","120","120","1","57.351318","0","0"
"/Game/VFXSeries1/Materials/Energy/M_Burst.M_Burst","20","40","40","1","14.982187","0","0"
"/Game/Meshes/vessel/body_part_2.body_part_2","20","12","12","1","7.530005","0","0"
"/Game/Meshes/vessel/body_part.body_part","20","12","12","1","7.516256","0","0"
"/Game/Meshes/vessel/turbine.turbine","20","12","12","1","7.585757","0","0"
"/Game/Meshes/vessel/part-1.part-1","20","12","12","1","7.517309","0","0"
"/Game/Meshes/vessel/glass.glass","20","12","12","1","7.616239","0","0"
"/Game/Meshes/env/cone2.cone2","20","21","21","1","13.379224","0","0"
"/Game/Meshes/env/rock.rock","20","21","21","1","13.286652","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","20","17","17","1","4.838838","0","0"
"/Game/Meshes/env/body_005.body_005","20","21","21","1","13.259494","0","0"
"/Game/Meshes/env/body_002.body_002","20","21","21","1","13.458361","0","0"
"/Game/Meshes/env/body_001.body_001","20","21","21","1","14.089731","0","0"
"/Game/Meshes/env/tower_body.tower_body","20","21","21","1","13.714551","0","0"
"/Game/Meshes/env/part_glow.part_glow","20","12","12","1","7.959499","0","0"
"/Game/Meshes/env/cone4.cone4","20","12","12","1","7.560237","0","0"
"/Game/Meshes/vessel/Material_004.Material_004","20","12","12","1","7.504209","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","20","63","63","1","28.024845","0","0"
"/Game/Meshes/vessel/Material.Material","20","12","12","1","7.490211","0","0"
"/Game/Meshes/vessel/body.body","20","12","12","1","7.576676","0","0"
"/Game/Meshes/vessel/black-parts.black-parts","20","12","12","1","7.545579","0","0"
"/Game/Meshes/vessel/Material_001.Material_001","20","12","12","1","7.592423","0","0"
"/Game/Meshes/env/light.light","20","21","21","1","13.349592","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","20","123","123","1","51.816120","0","0"
"/Game/VFXSeries1/Materials/LensFlare/m_flare_03.m_flare_03","20","24","24","1","9.908323","0","0"
"/Game/VFXSeries1/Materials/M_FireBlueParticle.M_FireBlueParticle","20","32","32","1","12.744487","0","0"
"/Game/VFXSeries1/Materials/M_Plasmaclouds3.M_Plasmaclouds3","20","84","84","1","44.461613","0","0"
"/Game/weathereffects/Materials/M_Transparent.M_Transparent","20","84","84","1","42.830482","0","0"
"/Game/SpaceBox_Color/Materials/HD/Kaldar/Mat_HD_Kaldar_Back.Mat_HD_Kaldar_Back","20","2","2","1","1.209928","0","0"
"/Game/SpaceBox_Color/Materials/HD/Kaldar/Mat_HD_Kaldar_Down.Mat_HD_Kaldar_Down","20","2","2","1","1.098146","0","0"
"/Game/SpaceBox_Color/Materials/HD/Kaldar/Mat_HD_Kaldar_Front.Mat_HD_Kaldar_Front","20","2","2","1","1.112941","0","0"
"/Game/SpaceBox_Color/Materials/HD/Kaldar/Mat_HD_Kaldar_Left.Mat_HD_Kaldar_Left","20","2","2","1","1.124950","0","0"
"/Game/SpaceBox_Color/Materials/HD/Kaldar/Mat_HD_Kaldar_Right.Mat_HD_Kaldar_Right","20","2","2","1","1.153692","0","0"
"/Game/SpaceBox_Color/Materials/HD/Kaldar/Mat_HD_Kaldar_Up.Mat_HD_Kaldar_Up","20","2","2","1","1.111913","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","20","7","8","1","3.744545","0","0"
"/Game/Meshes/env/body_part.body_part","20","12","12","1","8.177104","0","0"
"/Game/Materials/roadCorner_emissive.roadCorner_emissive","20","21","21","1","13.642387","0","0"
"/Game/Meshes/env/body.body","20","21","21","1","13.408293","0","0"
"/Game/Meshes/env/body_003.body_003","20","21","21","1","13.312291","0","0"
"/Game/Meshes/env/body_004.body_004","20","21","21","1","13.362874","0","0"
