"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","36","6","11.625610","0","0"
"Globals","24","545","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","23","28","1","13.134705","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","560","665","1","303.453400","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","119","119","1","67.113251","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","4","4","1","1.646775","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","12","12","1","5.412288","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","37","42","1","42.280197","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","24","4","4","1","1.836313","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","18","18","1","10.358809","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","0.994789","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","4","4","1","2.124655","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","24","150","255","1","64.080910","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","36","36","1","19.884518","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","4","4","1","1.601961","0","0"
"/OculusVR/Materials/OculusMR_WhiteMaterial.OculusMR_WhiteMaterial","24","4","4","1","1.850636","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","24","4","4","1","2.508135","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey_Lit.OculusMR_ChromaKey_Lit","24","20","20","1","15.129251","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","24","2","2","1","0.918530","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","1.062990","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","4","4","1","1.799591","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","4","4","1","1.837172","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","36","36","1","21.229149","0","0"
"/Game/VFXSeries1/Materials/Energy/M_SparksBlue.M_SparksBlue","24","20","20","1","8.822831","0","0"
"/Game/VFXSeries1/Materials/Energy/M_SmokeParticle.M_SmokeParticle","24","80","80","1","50.012356","0","0"
"/Game/VFXSeries1/Materials/Energy/M_Burst.M_Burst","24","24","24","1","10.795240","0","0"
"/Game/Meshes/vessel/body_part_2.body_part_2","24","18","18","1","10.994830","0","0"
"/Game/Meshes/vessel/body_part.body_part","24","18","18","1","9.676159","0","0"
"/Game/Meshes/vessel/turbine.turbine","24","18","18","1","9.449246","0","0"
"/Game/Meshes/vessel/part-1.part-1","24","18","18","1","9.587973","0","0"
"/Game/Meshes/vessel/glass.glass","24","18","18","1","11.083401","0","0"
"/Game/Meshes/env/cone2.cone2","24","33","33","1","18.297926","0","0"
"/Game/Meshes/env/rock.rock","24","33","33","1","18.082861","0","0"
